,CHARGE,VOLUME,HYDROPHOBICITY,GRANTHAM,POLARITY,EX,PAM250,BLOSUM,JM,HGMD2003,VB,TRANSITION,COSMIC,COSMICVSSWISSPROT,HAPMAP,COSMICVSHAPMAP,BINDING_X,ACT_SITE_X,SITE_X,LIPID_X,METAL_X,CARBOHYD_X,DNA_BIND_X,NP_BIND_X,CA_BIND_X,DISULFID_X,SE_CYS_X,MOD_RES_X,PROPEP_X,SIGNALP_X,TRANSMEM_X,COMPBIAS_X,REP_X,MOTIF_X,ZN_FING_X,REGIONS_X,PPI_X,RNABD_X,TF_X,LOC_X,MMBRBD_X,CHROM_X,POSTMODREC_X,POSTMODENZ_X,BINDING_Y,ACT_SITE_Y,SITE_Y,LIPID_Y,METAL_Y,CARBOHYD_Y,DNA_BIND_Y,NP_BIND_Y,CA_BIND_Y,DISULFID_Y,SE_CYS_Y,MOD_RES_Y,PROPEP_Y,SIGNALP_Y,TRANSMEM_Y,COMPBIAS_Y,REP_Y,MOTIF_Y,ZN_FING_Y,REGIONS_Y,PPI_Y,RNABD_Y,TF_Y,LOC_Y,MMBRBD_Y,CHROM_Y,POSTMODREC_Y,POSTMODENZ_Y,AROMATICITY_DIFF,AROMATICITY_LOG_RATIO,ISOELECTRIC_POINT_DIFF,ISOELECTRIC_POINT_LOG_RATIO,GRAVY_DIFF,GRAVY_LOG_RATIO,INSTABILITY_INDEX_DIFF,INSTABILITY_INDEX_LOG_RATIO,FLEXIBILITY_DIFF,FLEXIBILITY_LOG_RATIO
count,68507.0,68507.0,68507.0,68507.0,68507.0,68507.0,68507.0,68507.0,68507.0,68507.0,68507.0,68507.0,68507.0,68507.0,68507.0,68507.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,68499.0,47422.0,68499.0,68499.0,68491.0,51158.0,68491.0,61863.0,67624.0,67624.0
mean,-0.004043382428073044,-0.15629721536971816,-0.6335410979899748,79.96232501788138,-0.2505203847782082,28.993460522282394,0.15569649816807254,-0.5824368312727166,0.8041776752741078,191.12065920270922,19.780796123023926,0.003191840249901542,-5.929239372905251,-8.627689394441399,-4.859635690139719,-1.0696036827672122,0.005688913556264743,0.0023125664862864805,0.0035151010591554506,0.00013875398917718884,0.005596410896813284,0.005642662226539013,0.024189445446556587,0.01429166088525045,0.001803801859303455,0.01762175662550298,4.625132972572962e-05,0.0074927154155681975,0.014707922852782017,0.015447944128393691,0.1783451274224134,0.06771194671846816,0.13042874982655753,0.007955228712825493,0.032745941445816565,0.2996161139632764,0.12053096526525138,0.027195781878729012,0.008787752647888628,0.008278988020905601,0.013459136950187318,0.000601267286434485,0.004440127653670043,0.07908977383099765,0.005688913556264743,0.0023125664862864805,0.0035151010591554506,0.00013875398917718884,0.005596410896813284,0.005642662226539013,0.024189445446556587,0.01429166088525045,0.001803801859303455,0.01762175662550298,4.625132972572962e-05,0.0074927154155681975,0.014707922852782017,0.015447944128393691,0.1783451274224134,0.06771194671846816,0.13042874982655753,0.007955228712825493,0.032745941445816565,0.2996161139632764,0.12053096526525138,0.027195781878729012,0.008787752647888628,0.008278988020905601,0.013459136950187318,0.000601267286434485,0.004440127653670043,0.07908977383099765,0.01652763788926934,1.9735452841450274,0.6947033958895613,2.0044762048473475,0.2290334195163076,1986404727397.5286,14.02142112570199,2.055487047608663,0.009295194325807946,2.0006296545691615
std,0.7092389450834463,1.7043823346759408,6.813598423894989,48.063565137934674,2.723419133963219,10.954979536941764,1.679385108343038,1.651174453651989,1.2375637414254197,154.63976098445707,14.642421528191457,0.0017233498998267165,1.3423823633974663,1.2887821487927666,0.7242263251311637,1.2239138815830917,0.07521177736142058,0.048034625421583446,0.059185362530024335,0.01177884346914049,0.07460126330466829,0.07490715659765425,0.1536405153501438,0.11869313756884728,0.04243384780755367,0.13157519151951041,0.006800833017044931,0.08623757069074296,0.12038384503285234,0.12332886374945105,0.3828118608984244,0.2512567587839517,0.3367823287810097,0.08883866319737764,0.17797502572156115,0.4581004304037209,0.32558893515537085,0.16265729315479074,0.09333236814431303,0.09061360902140381,0.11523281969896688,0.02451394619519621,0.06648772352489159,0.2698850687949075,0.07521177736142058,0.048034625421583446,0.059185362530024335,0.01177884346914049,0.07460126330466829,0.07490715659765425,0.1536405153501438,0.11869313756884728,0.04243384780755367,0.13157519151951041,0.006800833017044931,0.08623757069074296,0.12038384503285234,0.12332886374945105,0.3828118608984244,0.2512567587839517,0.3367823287810097,0.08883866319737764,0.17797502572156115,0.4581004304037209,0.32558893515537085,0.16265729315479074,0.09333236814431303,0.09061360902140381,0.11523281969896688,0.02451394619519621,0.06648772352489159,0.2698850687949075,0.02488032673731766,0.32744234668825806,0.9811962065733745,0.0750756436400229,0.17082029706124924,124532187158557.56,13.272556864770985,2.2716764580560076,0.006760690651170504,0.008284386760446408
min,-2.0,-5.59,-15.7,5.0,-8.1,-1.0,-5.4,-4.0,-1.73,0.0,0.0,0.0002,-10.586230799400001,-13.9105879834,-9.01225522,-3.65341712106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.6883650869568432,0.0,-3385487690266344.0,0.0012500000000006395,-84.76825500471264,2.8344671210156486e-07,1.9674210235362424
25%,0.0,-1.40333333333,-3.1,43.0,-2.2,21.0,-1.0,-2.0,-0.5,72.0,8.0,0.0016,-6.8485611811,-9.53376355308,-5.27458560172,-1.90421726625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9393556088340884,0.0,1.9913529878642524,0.0920833333333334,1.4346159054831982,4.196666666666658,1.9644064517769615,0.003928004535147328,1.9947870103171033
50%,0.0,-0.16,-0.4,74.0,-0.1,29.0,0.2,-1.0,1.05,130.0,17.0,0.0031,-6.03235390778,-8.780444133049999,-4.80756260061,-1.28277856482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004166666666666666,1.9410360979802608,0.1678466796875,2.0,0.19666666666666646,1.9398494967316031,10.09375,2.0088023267836705,0.007928429705215456,2.0007702452581375
75%,0.0,0.963333333333,1.9,102.0,1.1,35.0,1.4,1.0,1.66,277.0,29.0,0.0044,-5.33395737133,-7.94912011964,-4.4171353698699996,-0.633420225504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012500000000000013,1.9425668579655164,1.22125244140625,2.014950808043753,0.3300000000000001,2.4279093263041527,20.0975,2.087379018101044,0.013362386621315281,2.00623691444664
max,2.0,5.59,15.7,215.0,8.1,61.0,5.3,3.0,3.22,634.0,55.0,0.0082,-1.76331917303,-4.57856874774,-3.4788657312800004,3.75242848551,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2222222222222222,3.662754799731791,6.305908203125,2.445118625524667,1.6736111111111112,9618253326730368.0,139.14444444444445,453.2138065395818,0.048446428571428564,2.032263711281553
