,CHARGE,VOLUME,HYDROPHOBICITY,GRANTHAM,POLARITY,EX,PAM250,BLOSUM,JM,HGMD2003,VB,TRANSITION,COSMIC,COSMICVSSWISSPROT,HAPMAP,COSMICVSHAPMAP,BINDING,ACT_SITE,SITE,LIPID,METAL,CARBOHYD,DNA_BIND,NP_BIND,CA_BIND,DISULFID,SE_CYS,MOD_RES,PROPEP,SIGNALP,TRANSMEM,COMPBIAS,REP,MOTIF,ZN_FING,REGIONS,PPI,RNABD,TF,LOC,MMBRBD,CHROM,POSTMODREC,POSTMODENZ,AROMATICITY_DIFF,AROMATICITY_LOG_RATIO,ISOELECTRIC_POINT_DIFF,ISOELECTRIC_POINT_LOG_RATIO,GRAVY_DIFF,GRAVY_LOG_RATIO,INSTABILITY_INDEX_DIFF,INSTABILITY_INDEX_LOG_RATIO,FLEXIBILITY_DIFF,FLEXIBILITY_LOG_RATIO
count,68507.0,68507.0,68507.0,68507.0,68507.0,68507.0,68507.0,68507.0,68507.0,68507.0,68507.0,68507.0,68507.0,68507.0,68507.0,68507.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,21621.0,68499.0,45742.0,68499.0,68499.0,68491.0,61550.0,68491.0,64583.0,67624.0,67624.0
mean,-0.004043382428073044,-0.15629721536971816,-0.6335410979899748,79.96232501788138,-0.2505203847782082,28.993460522282394,0.15569649816807254,-0.5824368312727166,0.8041776752741078,191.12065920270922,19.780796123023926,0.003191840249901542,-5.929239372905251,-8.627689394441399,-4.859635690139719,-1.0696036827672122,0.005688913556264743,0.0023125664862864805,0.0035151010591554506,0.00013875398917718884,0.005596410896813284,0.005642662226539013,0.024189445446556587,0.01429166088525045,0.001803801859303455,0.01762175662550298,4.625132972572962e-05,0.0074927154155681975,0.014707922852782017,0.015447944128393691,0.1783451274224134,0.06771194671846816,0.13042874982655753,0.007955228712825493,0.032745941445816565,0.2996161139632764,0.12053096526525138,0.027195781878729012,0.008787752647888628,0.008278988020905601,0.013459136950187318,0.000601267286434485,0.004440127653670043,0.07908977383099765,0.01652763788926934,-0.0227602476271121,0.6947033958895613,0.005082843652210434,0.2290334195163076,0.03565583108429721,14.02142112570199,0.08600721156380188,0.009295194325807946,0.000833801526043517
std,0.7092389450834463,1.7043823346759408,6.813598423894989,48.063565137934674,2.723419133963219,10.954979536941764,1.679385108343038,1.651174453651989,1.2375637414254197,154.63976098445707,14.642421528191457,0.0017233498998267165,1.3423823633974663,1.2887821487927666,0.7242263251311637,1.2239138815830917,0.07521177736142058,0.048034625421583446,0.059185362530024335,0.01177884346914049,0.07460126330466829,0.07490715659765425,0.1536405153501438,0.11869313756884728,0.04243384780755367,0.13157519151951041,0.006800833017044931,0.08623757069074296,0.12038384503285234,0.12332886374945105,0.3828118608984244,0.2512567587839517,0.3367823287810097,0.08883866319737764,0.17797502572156115,0.4581004304037209,0.32558893515537085,0.16265729315479074,0.09333236814431303,0.09061360902140381,0.11523281969896688,0.02451394619519621,0.06648772352489159,0.2698850687949075,0.02488032673731766,0.259580893822191,0.9811962065733745,0.17311095466234916,0.17082029706124924,1.944348282542618,13.272556864770985,0.6908410639280591,0.006760690651170504,0.011474995584206855
min,-2.0,-5.59,-15.7,5.0,-8.1,-1.0,-5.4,-4.0,-1.73,0.0,0.0,0.0002,-10.586230799400001,-13.9105879834,-9.01225522,-3.65341712106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8109302162163288,0.0,-0.8353486024890241,0.0,-38.096066258409074,0.0012500000000006395,-7.946853440117858,2.8344671210156486e-07,-0.04636733586609696
25%,0.0,-1.40333333333,-3.1,43.0,-2.2,21.0,-1.0,-2.0,-0.5,72.0,8.0,0.0016,-6.8485611811,-9.53376355308,-5.27458560172,-1.90421726625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06453852113757118,0.0,-0.019971001412250503,0.0920833333333334,-0.24358675258655665,4.196666666666658,-0.16235285971354158,0.003928004535147328,-0.0072384030811815546
50%,0.0,-0.16,-0.4,74.0,-0.1,29.0,0.2,-1.0,1.05,130.0,17.0,0.0031,-6.03235390778,-8.780444133049999,-4.80756260061,-1.28277856482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004166666666666666,-0.06453852113757118,0.1678466796875,0.0,0.19666666666666646,0.028925095412040726,10.09375,0.028342278424864708,0.007928429705215456,0.0010691723368615432
75%,0.0,0.963333333333,1.9,102.0,1.1,35.0,1.4,1.0,1.66,277.0,29.0,0.0044,-5.33395737133,-7.94912011964,-4.4171353698699996,-0.633420225504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012500000000000013,-0.06453852113757118,1.22125244140625,0.034624284551456684,0.3300000000000001,0.2837681731306446,20.0975,0.3284630825256277,0.013362386621315281,0.008616870929721639
max,2.0,5.59,15.7,215.0,8.1,61.0,5.3,3.0,3.22,634.0,55.0,0.0082,-1.76331917303,-4.57856874774,-3.4788657312800004,3.75242848551,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2222222222222222,1.0340737675305385,6.305908203125,0.8723515057549756,1.6736111111111112,38.36787765721469,139.14444444444445,7.9645685334820095,0.048446428571428564,0.04418905254110896
